,incident_month,incident_week,incident_weekday,weekend,part_of_the_day,latitude,longitude,incident_place,incident_district,incident_division,max_temp,avg_temp,min_temp,weather_code,precip,humidity,visibility,cloudcover,heatindex,season,household,male_population,female_population,total_population,gender_ration,average_household_size,density_per_kmsq,literacy_rate,religious_institution,playground,park,police_station,cyber_cafe,school,college,cinema,crime
40,3,10,tuesday,0,night,23.785337,90.342439,darus salam,dhaka,dhaka,35,32,26,116,0.0,33,10,16,29,hot,2034146,4931802,3974237,8906039,125,8.42,30551,74.6,4289,99,17,60,478,242,64,40,murder
41,2,5,thursday,0,night,23.721686,90.497766,demra,dhaka,dhaka,30,26,19,113,0.0,55,10,1,24,winter,2034146,4931802,3974237,8906039,125,8.42,30551,74.6,4289,99,17,60,478,242,64,40,murder
42,2,5,thursday,0,night,23.721686,90.497766,demra,dhaka,dhaka,30,26,19,113,0.0,55,10,1,24,winter,2034146,4931802,3974237,8906039,125,8.42,30551,74.6,4289,99,17,60,478,242,64,40,murder
43,3,11,friday,1,morning,23.881433,90.2683015,dhaka university,dhaka,dhaka,36,32,25,113,0.0,41,10,8,32,hot,2034146,4931802,3974237,8906039,125,8.42,30551,74.6,4289,99,17,60,478,242,64,40,murder
44,9,35,sunday,0,night,23.90833,90.21667,dhamrai,dhaka,dhaka,37,34,29,176,3.1,67,9,36,40,rainy,94776,207078,205340,412418,101,4.29,1342,50.8,706,0,2,2,0,23,1,2,murder
45,6,25,friday,1,morning,23.90833,90.21667,dhamrai,dhaka,dhaka,36,33,29,353,0.8,68,10,32,38,rainy,94776,207078,205340,412418,101,4.29,1342,50.8,706,0,2,2,0,23,1,2,murder
46,7,31,monday,0,night,23.90833,90.21667,dhamrai,dhaka,dhaka,34,32,28,176,3.8,73,10,48,37,rainy,94776,207078,205340,412418,101,4.29,1342,50.8,706,0,2,2,0,23,1,2,murder
47,6,25,wednesday,0,morning,23.90833,90.21667,dhamrai,dhaka,dhaka,38,35,30,116,0.6,65,10,18,42,rainy,94776,207078,205340,412418,101,4.29,1342,50.8,706,0,2,2,0,23,1,2,murder
48,6,25,wednesday,0,morning,23.90833,90.21667,dhamrai,dhaka,dhaka,38,35,30,116,0.6,65,10,18,42,rainy,94776,207078,205340,412418,101,4.29,1342,50.8,706,0,2,2,0,23,1,2,murder
49,2,7,wednesday,0,night,23.90833,90.21667,dhamrai,dhaka,dhaka,32,27,20,113,0.0,37,10,4,25,winter,94776,207078,205340,412418,101,4.29,1342,50.8,706,0,2,2,0,23,1,2,murder
50,5,19,sunday,0,night,23.744806,90.373922,dhanmondi,dhaka,dhaka,37,34,29,386,5.1,66,9,47,39,hot,2034146,4931802,3974237,8906039,125,8.42,30551,74.6,4289,99,17,60,478,242,64,40,murder
51,1,4,friday,1,night,23.744806,90.373922,dhanmondi,dhaka,dhaka,29,25,19,113,0.0,38,10,0,25,winter,2034146,4931802,3974237,8906039,125,8.42,30551,74.6,4289,99,17,60,478,242,64,40,murder
52,1,2,monday,0,night,23.5958,90.1222,domar,dhaka,dhaka,30,26,21,113,0.0,47,10,0,26,winter,49400,107041,119398,226439,90,4.56,1402,57.5,672,32,0,2,0,21,2,2,murder
53,2,8,wednesday,0,evening,23.700508,90.451953,donia,dhaka,dhaka,31,27,22,176,3.4,54,10,17,28,winter,2034146,4931802,3974237,8906039,125,8.42,30551,74.6,4289,99,17,60,478,242,64,40,murder
54,7,28,friday,1,night,23.78241147,90.33740957,gabtoli,dhaka,dhaka,34,31,26,353,1.7,77,10,36,35,rainy,2034146,4931802,3974237,8906039,125,8.42,30551,74.6,4289,99,17,60,478,242,64,40,murder
55,6,23,saturday,1,morning,23.7917,90.4167,gulshan,dhaka,dhaka,36,34,29,356,3.5,65,9,29,39,rainy,2034146,4931802,3974237,8906039,125,8.42,30551,74.6,4289,99,17,60,478,242,64,40,murder
56,10,44,tuesday,0,night,23.740038,90.35886,hazaribagh,dhaka,dhaka,31,27,22,116,0.0,75,10,17,29,rainy,2034146,4931802,3974237,8906039,125,8.42,30551,74.6,4289,99,17,60,478,242,64,40,murder
57,9,36,monday,0,evening,23.740038,90.35886,hazaribagh,dhaka,dhaka,35,33,28,356,13.9,68,9,29,38,rainy,2034146,4931802,3974237,8906039,125,8.42,30551,74.6,4289,99,17,60,478,242,64,40,murder
58,4,14,wednesday,0,night,23.70637,90.41431,hrishikesh das lane,dhaka,dhaka,37,32,26,386,6.9,75,10,28,36,hot,2034146,4931802,3974237,8906039,125,8.42,30551,74.6,4289,99,17,60,478,242,64,40,murder
59,10,40,sunday,0,night,23.728907,90.417137,ibrahimpur,dhaka,dhaka,34,31,26,116,0.1,58,10,19,33,rainy,2034146,4931802,3974237,8906039,125,8.42,30551,74.6,4289,99,17,60,478,242,64,40,murder
60,8,32,sunday,0,night,23.784506,90.403409,islambagh,dhaka,dhaka,36,33,28,200,0.4,70,10,31,40,rainy,2034146,4931802,3974237,8906039,125,8.42,30551,74.6,4289,99,17,60,478,242,64,40,murder
61,7,30,sunday,0,night,23.714039,90.450656,jatrabari,dhaka,dhaka,33,30,26,353,0.9,79,10,71,34,rainy,2034146,4931802,3974237,8906039,125,8.42,30551,74.6,4289,99,17,60,478,242,64,40,murder
62,6,25,friday,1,night,23.714039,90.450656,jatrabari,dhaka,dhaka,35,33,29,119,1.0,69,10,34,39,rainy,2034146,4931802,3974237,8906039,125,8.42,30551,74.6,4289,99,17,60,478,242,64,40,murder
63,1,2,monday,0,night,23.714039,90.450656,jatrabari,dhaka,dhaka,31,26,21,113,0.0,48,10,0,26,winter,2034146,4931802,3974237,8906039,125,8.42,30551,74.6,4289,99,17,60,478,242,64,40,murder
64,2,6,sunday,0,evening,23.714039,90.450656,jatrabari,dhaka,dhaka,29,24,17,113,0.0,46,10,7,23,winter,2034146,4931802,3974237,8906039,125,8.42,30551,74.6,4289,99,17,60,478,242,64,40,murder
65,4,17,thursday,0,night,23.714039,90.450656,jatrabari,dhaka,dhaka,36,32,26,356,8.2,74,9,44,35,hot,2034146,4931802,3974237,8906039,125,8.42,30551,74.6,4289,99,17,60,478,242,64,40,murder
66,4,16,thursday,0,evening,23.714039,90.450656,jatrabari,dhaka,dhaka,36,33,27,176,7.6,65,9,13,36,hot,2034146,4931802,3974237,8906039,125,8.42,30551,74.6,4289,99,17,60,478,242,64,40,murder
67,2,7,monday,0,noon,23.714039,90.450656,jatrabari,dhaka,dhaka,31,26,19,113,0.0,39,10,7,25,winter,2034146,4931802,3974237,8906039,125,8.42,30551,74.6,4289,99,17,60,478,242,64,40,murder
68,5,20,friday,1,night,23.714039,90.450656,jatrabari,dhaka,dhaka,37,34,28,356,10.1,70,9,21,40,hot,2034146,4931802,3974237,8906039,125,8.42,30551,74.6,4289,99,17,60,478,242,64,40,murder
69,6,22,thursday,0,morning,23.714039,90.450656,jatrabari,dhaka,dhaka,34,32,28,359,50.4,78,6,32,38,rainy,2034146,4931802,3974237,8906039,125,8.42,30551,74.6,4289,99,17,60,478,242,64,40,murder
70,2,7,sunday,0,morning,23.728907,90.417137,jurain,dhaka,dhaka,37,32,25,113,0.0,35,10,15,30,winter,2034146,4931802,3974237,8906039,125,8.42,30551,74.6,4289,99,17,60,478,242,64,40,murder
71,8,34,saturday,1,morning,23.7931,90.3861,kafrul,dhaka,dhaka,29,28,26,386,19.1,86,8,58,32,rainy,2034146,4931802,3974237,8906039,125,8.42,30551,74.6,4289,99,17,60,478,242,64,40,murder
72,4,17,monday,0,evening,23.747314,90.386673,kalabagan,dhaka,dhaka,37,34,29,386,3.1,65,10,17,38,hot,2034146,4931802,3974237,8906039,125,8.42,30551,74.6,4289,99,17,60,478,242,64,40,murder
73,5,18,thursday,0,afternoon,23.777843,90.361078,kalyanpur,dhaka,dhaka,35,33,28,353,13.8,63,9,30,36,hot,2034146,4931802,3974237,8906039,125,8.42,30551,74.6,4289,99,17,60,478,242,64,40,murder
74,6,23,sunday,0,morning,23.784506,90.403409,kamrangirchar,dhaka,dhaka,32,31,29,356,13.3,78,9,59,38,rainy,2034146,4931802,3974237,8906039,125,8.42,30551,74.6,4289,99,17,60,478,242,64,40,murder
75,12,49,friday,1,night,23.737146,90.410583,karail,dhaka,dhaka,29,26,20,113,0.0,55,10,2,25,winter,2034146,4931802,3974237,8906039,125,8.42,30551,74.6,4289,99,17,60,478,242,64,40,murder
76,4,18,monday,0,morning,23.68333,90.33333,keraniganj,dhaka,dhaka,33,30,26,386,36.5,75,8,29,33,hot,177970,421809,372551,794360,113,4.42,4760,58.5,827,8,0,4,35,34,6,5,murder
77,6,26,friday,1,evening,23.752027,90.421808,khilgaon,dhaka,dhaka,33,31,27,356,8.8,75,9,37,35,rainy,2034146,4931802,3974237,8906039,125,8.42,30551,74.6,4289,99,17,60,478,242,64,40,murder
78,1,1,thursday,0,night,23.752027,90.421808,khilgaon,dhaka,dhaka,29,25,20,113,0.0,44,10,0,25,winter,2034146,4931802,3974237,8906039,125,8.42,30551,74.6,4289,99,17,60,478,242,64,40,murder
79,5,19,friday,1,morning,23.752027,90.421808,khilgaon,dhaka,dhaka,38,35,29,386,3.7,59,10,24,39,hot,2034146,4931802,3974237,8906039,125,8.42,30551,74.6,4289,99,17,60,478,242,64,40,murder
80,1,2,monday,0,night,23.714039,90.450656,jatrabari,dhaka,dhaka,31,26,21,113,0.0,48,10,0,26,winter,2034146,4931802,3974237,8906039,125,8.42,30551,74.6,4289,99,17,60,478,242,64,40,murder
81,5,18,wednesday,0,night,23.728907,90.417137,kuril,dhaka,dhaka,34,32,26,356,15.8,63,8,27,34,hot,2034146,4931802,3974237,8906039,125,8.42,30551,74.6,4289,99,17,60,478,242,64,40,murder
82,8,35,saturday,1,night,23.721427,90.375435,lalbagh,dhaka,dhaka,35,33,29,356,5.5,70,9,40,39,rainy,2034146,4931802,3974237,8906039,125,8.42,30551,74.6,4289,99,17,60,478,242,64,40,murder
83,7,29,friday,1,night,23.721427,90.375435,lalbagh,dhaka,dhaka,34,32,28,356,7.1,73,9,23,38,rainy,2034146,4931802,3974237,8906039,125,8.42,30551,74.6,4289,99,17,60,478,242,64,40,murder
84,5,19,saturday,1,night,23.793708,90.453284,badda,dhaka,dhaka,37,34,28,116,0.4,54,10,24,37,hot,2034146,4931802,3974237,8906039,125,8.42,30551,74.6,4289,99,17,60,478,242,64,40,murder
85,2,7,wednesday,0,morning,23.728907,90.417137,malibagh,dhaka,dhaka,32,28,20,113,0.0,37,10,4,25,winter,2034146,4931802,3974237,8906039,125,8.42,30551,74.6,4289,99,17,60,478,242,64,40,murder
86,8,35,monday,0,morning,23.728907,90.417137,malibagh,dhaka,dhaka,33,31,27,176,3.7,77,10,33,36,rainy,2034146,4931802,3974237,8906039,125,8.42,30551,74.6,4289,99,17,60,478,242,64,40,murder
87,8,35,monday,0,morning,23.728907,90.417137,malibagh,dhaka,dhaka,33,31,27,176,3.7,77,10,33,36,rainy,2034146,4931802,3974237,8906039,125,8.42,30551,74.6,4289,99,17,60,478,242,64,40,murder
88,12,51,friday,1,evening,23.729159,90.441764,manda,dhaka,dhaka,27,23,18,113,0.0,53,10,0,23,winter,2034146,4931802,3974237,8906039,125,8.42,30551,74.6,4289,99,17,60,478,242,64,40,murder
89,3,10,sunday,0,night,23.805381,90.374565,mirpur,dhaka,dhaka,30,27,21,116,0.0,61,10,21,26,hot,2034146,4931802,3974237,8906039,125,8.42,30551,74.6,4289,99,17,60,478,242,64,40,murder
90,4,18,monday,0,morning,23.805381,90.374565,mirpur,dhaka,dhaka,33,30,26,386,36.5,75,8,29,33,hot,2034146,4931802,3974237,8906039,125,8.42,30551,74.6,4289,99,17,60,478,242,64,40,murder
91,5,18,friday,1,afternoon,23.805381,90.374565,mirpur,dhaka,dhaka,40,34,28,200,0.1,59,10,13,37,hot,2034146,4931802,3974237,8906039,125,8.42,30551,74.6,4289,99,17,60,478,242,64,40,murder
92,8,33,tuesday,0,night,23.805381,90.374565,mirpur,dhaka,dhaka,34,32,27,386,8.1,74,10,43,37,rainy,2034146,4931802,3974237,8906039,125,8.42,30551,74.6,4289,99,17,60,478,242,64,40,murder
93,9,37,sunday,0,noon,23.805381,90.374565,mirpur,dhaka,dhaka,35,32,28,176,7.0,72,9,27,39,rainy,2034146,4931802,3974237,8906039,125,8.42,30551,74.6,4289,99,17,60,478,242,64,40,murder
94,1,2,monday,0,morning,23.805381,90.374565,mirpur,dhaka,dhaka,31,26,21,113,0.0,48,10,0,26,winter,2034146,4931802,3974237,8906039,125,8.42,30551,74.6,4289,99,17,60,478,242,64,40,murder
95,9,37,sunday,0,noon,23.805381,90.374565,mirpur,dhaka,dhaka,35,32,28,176,7.0,72,9,27,39,rainy,2034146,4931802,3974237,8906039,125,8.42,30551,74.6,4289,99,17,60,478,242,64,40,murder
96,11,46,tuesday,0,night,23.805381,90.374565,mirpur,dhaka,dhaka,32,29,25,113,0.0,60,10,1,30,winter,2034146,4931802,3974237,8906039,125,8.42,30551,74.6,4289,99,17,60,478,242,64,40,murder
97,2,5,tuesday,0,night,23.805381,90.374565,mirpur,dhaka,dhaka,29,26,20,113,0.0,55,10,6,25,winter,2034146,4931802,3974237,8906039,125,8.42,30551,74.6,4289,99,17,60,478,242,64,40,murder
98,8,31,thursday,0,noon,23.754232,90.410831,moghbazar,dhaka,dhaka,33,31,26,386,2.1,78,10,37,35,rainy,2034146,4931802,3974237,8906039,125,8.42,30551,74.6,4289,99,17,60,478,242,64,40,murder
99,2,8,sunday,0,morning,23.784506,90.403409,mohakhali,dhaka,dhaka,36,31,24,113,0.0,43,10,6,30,winter,2034146,4931802,3974237,8906039,125,8.42,30551,74.6,4289,99,17,60,478,242,64,40,murder
100,7,29,wednesday,0,morning,23.784506,90.403409,mohakhali,dhaka,dhaka,30,28,26,356,6.1,88,10,80,32,rainy,2034146,4931802,3974237,8906039,125,8.42,30551,74.6,4289,99,17,60,478,242,64,40,murder
101,9,36,wednesday,0,night,23.760178,90.355229,mohammadpur,dhaka,dhaka,34,31,27,353,1.2,77,10,41,36,rainy,2034146,4931802,3974237,8906039,125,8.42,30551,74.6,4289,99,17,60,478,242,64,40,murder
102,9,37,wednesday,0,night,23.760178,90.355229,mohammadpur,dhaka,dhaka,34,31,27,353,1.8,74,10,30,36,rainy,2034146,4931802,3974237,8906039,125,8.42,30551,74.6,4289,99,17,60,478,242,64,40,murder
103,9,36,wednesday,0,night,23.760178,90.355229,mohammadpur,dhaka,dhaka,34,31,27,353,1.2,77,10,41,36,rainy,2034146,4931802,3974237,8906039,125,8.42,30551,74.6,4289,99,17,60,478,242,64,40,murder
104,8,33,monday,0,night,23.760178,90.355229,mohammadpur,dhaka,dhaka,34,31,27,386,4.3,77,10,48,36,rainy,2034146,4931802,3974237,8906039,125,8.42,30551,74.6,4289,99,17,60,478,242,64,40,murder
105,8,32,thursday,0,night,23.760178,90.355229,mohammadpur,dhaka,dhaka,33,31,27,356,5.0,78,9,35,36,rainy,2034146,4931802,3974237,8906039,125,8.42,30551,74.6,4289,99,17,60,478,242,64,40,murder
106,10,43,thursday,0,night,23.760178,90.355229,mohammadpur,dhaka,dhaka,21,21,21,308,22.7,85,8,70,24,rainy,2034146,4931802,3974237,8906039,125,8.42,30551,74.6,4289,99,17,60,478,242,64,40,murder
107,1,52,sunday,0,night,23.760178,90.355229,mohammadpur,dhaka,dhaka,32,26,19,113,0.0,57,10,2,26,winter,2034146,4931802,3974237,8906039,125,8.42,30551,74.6,4289,99,17,60,478,242,64,40,murder
108,10,43,thursday,0,night,23.760178,90.355229,mohammadpur,dhaka,dhaka,21,21,21,308,22.7,85,8,70,24,rainy,2034146,4931802,3974237,8906039,125,8.42,30551,74.6,4289,99,17,60,478,242,64,40,murder
109,9,37,sunday,0,noon,23.800242,90.366958,monipur,dhaka,dhaka,35,32,28,176,7.0,72,9,27,39,rainy,2034146,4931802,3974237,8906039,125,8.42,30551,74.6,4289,99,17,60,478,242,64,40,murder
110,9,37,sunday,0,noon,23.800242,90.366958,monipur,dhaka,dhaka,35,32,28,176,7.0,72,9,27,39,rainy,2034146,4931802,3974237,8906039,125,8.42,30551,74.6,4289,99,17,60,478,242,64,40,murder
111,9,37,sunday,0,noon,23.800242,90.366958,monipur,dhaka,dhaka,35,32,28,176,7.0,72,9,27,39,rainy,2034146,4931802,3974237,8906039,125,8.42,30551,74.6,4289,99,17,60,478,242,64,40,murder
112,6,25,thursday,0,night,23.784506,90.403409,mugda,dhaka,dhaka,36,34,29,353,6.3,67,10,38,40,rainy,2034146,4931802,3974237,8906039,125,8.42,30551,74.6,4289,99,17,60,478,242,64,40,murder
113,3,10,thursday,0,noon,23.728907,90.417137,nakhalpara,dhaka,dhaka,35,30,22,113,0.0,29,10,0,28,hot,2034146,4931802,3974237,8906039,125,8.42,30551,74.6,4289,99,17,60,478,242,64,40,murder
114,2,8,wednesday,0,afternoon,23.7350915,90.3842575,new market,dhaka,dhaka,32,28,22,176,2.0,71,10,39,28,winter,2034146,4931802,3974237,8906039,125,8.42,30551,74.6,4289,99,17,60,478,242,64,40,murder
115,2,7,friday,1,night,23.7350915,90.3842575,new market,dhaka,dhaka,34,28,21,116,0.0,41,10,11,27,winter,2034146,4931802,3974237,8906039,125,8.42,30551,74.6,4289,99,17,60,478,242,64,40,murder
116,5,19,tuesday,0,evening,23.77337857,90.4097081,niketan,dhaka,dhaka,36,33,28,386,2.3,71,10,45,38,hot,2034146,4931802,3974237,8906039,125,8.42,30551,74.6,4289,99,17,60,478,242,64,40,murder
117,7,30,thursday,0,night,23.794413,90.413735,old dhaka,dhaka,dhaka,33,31,27,356,19.1,79,8,69,36,rainy,2034146,4931802,3974237,8906039,125,8.42,30551,74.6,4289,99,17,60,478,242,64,40,murder
118,5,18,monday,0,night,23.794413,90.413735,old dhaka,dhaka,dhaka,35,32,27,353,17.2,68,9,24,36,hot,2034146,4931802,3974237,8906039,125,8.42,30551,74.6,4289,99,17,60,478,242,64,40,murder
119,4,15,friday,1,morning,23.794413,90.413735,old dhaka,dhaka,dhaka,37,32,25,176,2.6,54,10,47,35,hot,2034146,4931802,3974237,8906039,125,8.42,30551,74.6,4289,99,17,60,478,242,64,40,murder
120,1,4,sunday,0,morning,23.827398,90.364473,pallabi,dhaka,dhaka,30,26,19,113,0.0,46,10,0,25,winter,2034146,4931802,3974237,8906039,125,8.42,30551,74.6,4289,99,17,60,478,242,64,40,murder
121,12,52,monday,0,morning,23.827398,90.364473,pallabi,dhaka,dhaka,25,22,20,113,0.0,63,10,0,25,winter,2034146,4931802,3974237,8906039,125,8.42,30551,74.6,4289,99,17,60,478,242,64,40,murder
